Symbol,Name,Industry,Combined Score,Sales Growth (1 Year),P/E,P/E Relative to Industry,Price/Book,Price/Book Relative to Industry,Price/Sales,Price/Sales Relative to Industry
GL,Globe Life Inc.,Others,7.6,5.2,15.4,1.4,1.6,1.6,2.6,2.1
LLY,Eli Lilly and Company,Others,7.6,3.8,26.5,1.1,48.3,3.5,5.5,1.2
PSA,Public Storage,Financials,7.6,-2,29.2,0.5,7.4,1.7,13.1,1.3
WMB,"Williams Companies, Inc.",Oil,7.6,-5.6,34,1.3,2.2,0.8,3.5,1
NBL,"Noble Energy, Inc.",Oil,7.5,-1.7,#N/A,#N/A,1.4,0.8,2.7,1.1
AMAT,"Applied Materials, Inc.",Others,7.4,-12.6,19.5,0.7,6.2,0.9,3.6,1.2
CAT,Caterpillar Inc.,Others,7.4,-1.7,13.8,0.7,5.6,1.5,1.6,1.1
EL,Estee Lauder Companies Inc. Class A,Others,7.4,-3.9,101.2,2.7,17.3,0.2,4.9,1.3
ES,Eversource Energy,Utilities,7.4,0.9,30.2,1.3,2.2,0.9,3.2,1.2
ILMN,"Illumina, Inc.",Tech,7.4,6.3,49.4,1.8,10.6,1.5,14,1.8
MDLZ,"Mondelez International, Inc. Class A",F&B,7.4,-0.3,20.8,1,2.9,0.7,3.1,1.6
MXIM,"Maxim Integrated Products, Inc.",Others,7.4,-5.3,24.6,0.6,9.5,1.3,7.3,1.2
ROST,"Ross Stores, Inc.",Others,7.4,7,24.4,1.2,11.9,2,2.5,2.3
SO,Southern Company,Utilities,7.4,-10.3,14.2,0.6,2.5,1,3.2,1.2
TIF,Tiffany & Co.,Others,7.4,-0.4,30.1,1.3,4.9,0.3,3.7,2
UPS,"United Parcel Service, Inc. Class B",Air,7.4,2.8,22.9,1,30.7,2.7,1.4,1.3
WHR,Whirlpool Corporation,Others,7.4,-2.9,8,1,2.9,1,0.5,1
WRB,W. R. Berkley Corporation,Others,7.4,2.7,19.6,1.5,2.1,1.2,1.7,1.1
XEL,Xcel Energy Inc.,Utilities,7.4,0.1,24.1,1,2.5,1,2.9,1
DVN,Devon Energy Corporation,Oil,7.3,-27.3,#N/A,#N/A,1.7,1,1.6,0.6
HD,"Home Depot, Inc.",Others,7.3,1.9,22.3,1,#N/A,#N/A,2.3,1.3
MCD,McDonald's Corporation,Others,7.3,0.2,25.1,0.7,#N/A,#N/A,7.2,1.7
AON,Aon Plc Class A,Financials,7.2,2.2,32.7,0.9,14.3,1.9,4.6,1
EXPD,"Expeditors International of Washington, Inc.",Air,7.2,0.5,23,1,6,0.5,1.7,1.6
GM,General Motors Company,Others,7.2,-6.7,8,0,1.2,1,0.4,1.2
IPGP,IPG Photonics Corporation,Others,7.2,-10,43.3,1.1,3.2,0.4,5.9,1
IQV,IQVIA Holdings Inc,Service,7.2,6.5,161.5,2.4,4.9,1.5,2.8,1.4
LVS,Las Vegas Sands Corp.,Others,7.2,0.1,19.7,0.4,10.2,1.5,3.9,1.6
NTRS,Northern Trust Corporation,Financials,7.2,3.6,16,1.2,2.3,1.4,3.3,1.1
ODFL,"Old Dominion Freight Line, Inc.",Others,7.2,1.6,24.8,1,4.9,0.9,3.7,1.5
PNW,Pinnacle West Capital Corporation,Utilities,7.2,-6,18.8,0.8,1.9,0.7,2.9,1.1
AAPL,Apple Inc.,Others,7,-2.2,18.4,0.9,10.7,1,3.9,0.9
ADM,Archer-Daniels-Midland Company,Others,7,0.6,19,1,1.3,1,0.4,1
AMGN,Amgen Inc.,Tech,7,-2.1,18.7,0.7,14.7,2.1,6.3,0.8
AOS,A. O. Smith Corporation,Others,7,-6.1,21.5,0.9,4.6,0.6,2.7,1
DVA,DaVita Inc.,Service,7,-0.1,14.2,1,4.4,1,1,1
FMC,FMC Corporation,Chemicals,7,7.6,27.7,1.1,5.1,1.9,2.9,1.5
HSY,Hershey Company,F&B,7,2.5,26.9,1.1,17.6,1.1,3.9,1.3
INFO,IHS Markit Ltd.,Financials,7,10.1,59.1,2.8,3.4,1.6,6.7,1.8
NEE,"NextEra Energy, Inc.",Utilities,7,7.3,31.2,1.3,3.2,1.2,6.7,2.4
NLSN,Nielsen Holdings Plc,Service,7,-0.3,#N/A,#N/A,3.3,0.8,1.1,1
NOV,"National Oilwell Varco, Inc.",Oil,7,0.3,#N/A,#N/A,1.2,0.8,1.1,1.1
ORLY,"O'Reilly Automotive, Inc.",Others,7,6.4,24.5,1.1,83.4,5.4,3.4,1.9
OTIS,Otis Worldwide Corporation,Others,7,1.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PEG,Public Service Enterprise Group Inc,Utilities,7,-3.9,17.7,0.8,2,0.8,3.2,1.1
PM,Philip Morris International Inc.,Others,7,0.6,18.5,1,#N/A,#N/A,4.4,1
PNR,Pentair plc,Others,7,-0.3,22,1,4,1,2.6,1
TJX,TJX Companies Inc,Others,7,7,22.1,1.1,11.9,2,1.7,1.6
UNH,UnitedHealth Group Incorporated,Others,7,7,20.5,1.1,4.8,1.6,1.2,1.7
VRSK,Verisk Analytics Inc,Financials,7,8.9,55.3,1.6,10.8,1.4,9.5,2.1
YUM,"Yum! Brands, Inc.",Others,7,-1.6,24.4,0.7,#N/A,#N/A,5.6,1.3
AXP,American Express Company,Financials,6.8,8.6,15.6,1.3,4.4,2.2,2.2,1.5
CF,"CF Industries Holdings, Inc.",Chemicals,6.8,3.6,21.5,0.9,3.6,1.4,2.3,1.2
COP,ConocoPhillips,Oil,6.8,-10.8,10.2,0.3,2,1.2,2.3,0.9
CSX,CSX Corporation,Others,6.8,-2.6,17.3,0.8,4.7,1,4.8,0.9
DTE,DTE Energy Company,Utilities,6.8,-11.2,20.6,0.9,2.1,0.8,1.9,0.7
FAST,Fastenal Company,Others,6.8,7.4,26.8,1.1,8,1.1,4,1.9
