Date_Forecast,Forecast_T_ANN_ARCH,Forecast_GARCH,Forecast_GJR_GARCH,Forecast_TARCH,Forecast_EGARCH,Forecast_AVGARCH,Forecast_FIGARCH,ReturnForecast,TrueSD,VaR_T_ANN_ARCH,VaR_GARCH,VaR_GJR_GARCH,VaR_TARCH,VaR_EGARCH,VaR_AVGARCH,VaR_FIGARCH
2011-01-21,0.03495587,0.13228780328892933,0.13510705515301638,0.13941070226202307,7.427779961726088e-128,0.1394265689786229,0.13218494062806088,-0.05159410986412727,0.03300906283184118,0.11115923261080443,0.09496646395753729,0.09556013316501832,0.09711421266284673,-0.009056768841047199,0.0971429153634383,0.09492771094406534
2011-01-28,0.04311364,0.14337217887469045,0.13058604029855503,0.14123324770112075,1.1004563744215115e-228,0.1411740103232798,0.14354603800404309,-0.027016264307072824,0.02033577989193385,0.13811287900069957,0.0983132146386389,0.09343010591108676,0.09792097311692388,-0.0035636552472153283,0.09782160392290055,0.0987206301468553
2011-02-04,0.03541964,0.13851288363428807,0.13106489025200685,0.14072047446806207,1.4523194703356082e-146,0.14075617359834783,0.13832533205430964,0.01873905109969698,0.015740755038194647,0.11402725372561624,0.09687775365059074,0.09359044790066423,0.09744209905141615,-0.002147747820640761,0.0975202103400411,0.09670866443590487
2011-02-11,0.039286245,0.13708914188678692,0.13472125790801853,0.14019204696092344,1.857528935548641e-67,0.13998737901372,0.13682040269792295,0.0110411800755843,0.018234447156667312,0.12666403720307698,0.09624371248278672,0.09461029500925458,0.09646458335886822,-0.00555000153355149,0.0968263577652506,0.09590446788448968
2011-02-18,0.034595843,0.13530215069383128,0.13143165325738965,0.13584386136713938,9.526600022173875e-28,0.13674425123589584,0.13507909159352974,0.008246175419602153,0.01509864270916381,0.11096904655233006,0.09591583936518776,0.09381662525127667,0.09542707544449146,-0.0049986383099939816,0.09615211334078416,0.09580693111885434
2011-02-25,0.039085686,0.13383519839417007,0.13048580560187698,0.1338732363082486,0.13212923404531665,0.1324893126291066,0.13242916870762067,-0.01752955362529729,0.010997026546522954,0.1257492700076943,0.09324084744294968,0.09391589611214965,0.09500832254611678,0.09477452274125614,0.09486309780814048,0.09506322567672253
2011-03-04,0.034237977,0.12098758768116918,0.12280455962335837,0.12473844272890203,0.12450164019477966,0.1324008689147133,0.12296630061184739,-0.025268087737437384,0.010478899768721142,0.10960662520007497,0.08946656178647255,0.08908555427027794,0.090219654407204,0.09051324064472825,0.0941580119358611,0.0905820439187898
2011-03-11,0.04194631,0.11865086641297042,0.11623701903475714,0.1339407404648658,3.464974171845944e-142,0.1351518038216749,0.1187065453140522,-0.0019896010760236393,0.011208382248424657,0.13477442339132195,0.08863483283977176,0.08803309196737401,0.0937337209622865,-0.003554767719443095,0.09421590532395109,0.08874239847883429
2011-03-18,0.037810627,0.10759788415642747,0.11192899477355554,0.10416495286918526,0.10729600248448473,0.13304028848427552,0.10739587898321737,-0.004490937957659646,0.011526434510132702,0.12278779681769893,0.0854787571675974,0.08660682717754342,0.08318447422079137,0.08529359157755138,0.09503469603383481,0.0851853781176804
2011-03-25,0.033561625,0.10627746420089085,0.11198091928640226,0.09740867281805204,0.10497935179398586,0.13077067984057017,0.1059948778027536,-0.012518676642337745,0.022399423186754894,0.10955492357479381,0.08478988864862591,0.08671750204873652,0.08016921122782916,0.08396574638190427,0.09425523373976943,0.08462426041479229
