Date_Forecast,JNJ,GS,RIO,AAPL,JPM,BHP,DIS,XOM,CVX,AMZN,BA,MSFT,NEE,NVDA,CAT,MCD,NVS
2008-05-30,0.023364715,0.048475082999999995,0.063177615,0.058657996,0.050542835,0.04724317,0.03978777,0.03777373,0.030604952999999997,0.06511189,0.033218052000000005,0.033029612,0.042764597,0.060020637,0.04034252,0.058385677999999996,0.029772779
2008-06-06,0.025336032999999997,0.05023533,0.06424515,0.055074755,0.05327395,0.051465515,0.04327215,0.035040345,0.028344026,0.06311996,0.04397139,0.054308305999999994,0.04210180400000001,0.06440744,0.04026954,0.049721512999999995,0.038573097
2008-06-13,0.032542348,0.05120853,0.06445722,0.04517208,0.046820354,0.04997454,0.039099722999999996,0.029036982000000003,0.026758326000000002,0.054461874,0.047646955,0.033727652999999996,0.039287355,0.05845117,0.042451076,0.04239501,0.039201327
2008-06-20,0.029517004,0.055992965,0.06600551,0.05026461,0.060554422000000004,0.04816398,0.04211967,0.046719838,0.033244602000000005,0.056181747000000004,0.052983902,0.042542513,0.03650211,0.06244197,0.04336592,0.029253569,0.030341958999999998
2008-06-27,0.06543262,0.05234008,0.11244018,0.04714987,0.055540897,0.04885139,0.02729801,0.038820192,0.031866017999999996,0.05304387,0.050441753,0.05351168,0.048024385999999995,0.057890172999999996,0.05094452,0.031390857,0.04514441
2008-07-04,0.025543444,0.048275787,0.062004242,0.05042642,0.04898823,0.049125955,0.0458501,0.061138872000000004,0.02669671,0.060953185,0.03416203,0.03583875,0.044269197,0.17424485,0.051797225999999995,0.028063723999999998,0.042341217
2008-07-11,0.033904497,0.0713146,0.049075007000000004,0.04595406,0.053388134000000004,0.048736934,0.032623477000000005,0.029338812000000002,0.026949292000000003,0.044542048,0.03698984,0.03529196,0.03914529,0.063074805,0.040603444,0.02975184,0.03753173
2008-07-18,0.035576142000000005,0.051054525999999996,0.06322694,0.049960945,0.055452444000000004,0.05361667,0.028042668,0.028732677999999998,0.02690344,0.056275003,0.036960416,0.033195566,0.036447812,0.06727711,0.04034468,0.029365,0.02001468
2008-07-25,0.025050396000000003,0.050434265,0.061896212,0.048266564000000005,0.05134665,0.048590813,0.026066162,0.042029534,0.02737113,0.06657381,0.039325133,0.036758434,0.03881643,0.044426188,0.04277741,0.06414721,0.03378456
2008-08-01,0.023663387,0.05082592,0.06302603,0.03455447,0.07780496,0.050308905999999994,0.033489127,0.027961759,0.029933672,0.062655136,0.05237384,0.03264448,0.034319688,0.07484326,0.048064455,0.04377153,0.03037762
2008-08-08,0.031283546,0.06978138,0.06405159,0.06036794,0.053386144,0.044141654,0.02660685,0.06400365,0.027118456000000003,0.0571572,0.038154624,0.034817588,0.034999937,0.05867105,0.039723813999999996,0.036294237,0.05789934
