Date_Forecast,Forecast_T_ANN_ARCH,Forecast_GARCH,Forecast_GJR_GARCH,Forecast_TARCH,Forecast_EGARCH,Forecast_AVGARCH,Forecast_FIGARCH,ReturnForecast,TrueSD,VaR_T_ANN_ARCH,VaR_GARCH,VaR_GJR_GARCH,VaR_TARCH,VaR_EGARCH,VaR_AVGARCH,VaR_FIGARCH
2007-12-21,0.03743184,0.4596507690566365,0.4596231344659499,0.4645163630539067,0.4139275413499274,0.4579227069380603,0.44366866038736935,0.02417777827489398,0.062240668150173074,0.1105421848863918,0.21932163457712192,0.2193139411398509,0.21928280712668843,0.20986000064900406,0.21878003270615257,0.21564259824615908
2007-12-28,0.08605427,0.4351799563076173,0.4351884401806329,0.4496543515190904,0.5266394440679195,0.44971352775773155,0.44214934706165243,0.034357941829093575,0.054726024774603574,0.2692370912081938,0.2112036296365072,0.21120638335615177,0.21563481361899897,0.23581763645032283,0.21565375395773995,0.21482088837793875
2008-01-04,0.053054336,0.458505471831858,0.45850543307758995,0.4524108763642441,0.5187321585993566,0.45240036627777863,0.4292722813404031,-0.06179656324444105,0.033863052854860194,0.16146155277766688,0.2178674887777846,0.21786739584094086,0.21573953112621125,0.23433564345647262,0.2157345253952327,0.21091872368336204
2008-01-11,0.054488953,0.444579773840521,0.4445777347615988,0.4482672955422657,0.4002147265874478,0.44867747507245453,0.41898188513211365,-0.09083770127370028,0.03292395610756148,0.164925529576382,0.21433874223910127,0.21433801860945603,0.21539097553211875,0.20511997828947012,0.21551099593731937,0.208900192275349
2008-01-18,0.031773567,0.46766885258046414,0.46784661943753647,0.5588039464073524,0.33434005386410753,0.46091025578414113,0.4505605345198341,-0.016414192508931835,0.011113171411989337,0.09212772384721234,0.22227205997583233,0.2223267772158732,0.24150373859997895,0.18890664379109823,0.22013770419682602,0.21824581963866457
2008-01-25,0.06338258,0.4777097412248079,0.4777199534423554,0.4694262258456554,0.5421902371820937,0.469470518516211,0.4649161780838837,-0.02745464792536123,0.01388856556080505,0.19681837266424174,0.22536064614728357,0.22536290251248467,0.22282614299132042,0.24251509553100298,0.22283988182130635,0.22239098335454308
2008-02-01,0.07915097,0.34196849604976565,0.3540754988957498,0.4698577830194659,6.207189222366969e-106,0.4701225308792082,0.44830722904511405,-0.03902490956491311,0.014095871772016298,0.24791160406220547,0.18428004988394558,0.1879233880405044,0.22285296695046497,-0.0033317912916372484,0.22292888823219872,0.2184283767379185
2008-02-08,0.052787215,0.334485172450543,0.346267165024525,0.4646290855720901,2.0193971803743774e-129,0.46460051901491217,0.42649155216403223,-0.01525715387571136,0.050098965230231475,0.16206866507191556,0.18225668136866816,0.1858354282034485,0.22258572811777405,-0.004399487982543719,0.22257727892691356,0.2138811328808843
2008-02-15,0.04639396,0.3228892152263785,0.32287753367985367,0.46877167390333496,1.057315877335043e+25,0.46882718828014835,0.4078588918108372,-0.007374046954706337,0.05161999757089975,0.14216160474850809,0.1795059029001216,0.17950232196823168,0.2253680496294371,908612265569.4933,0.22538436933560457,0.21057223165433037
2008-02-22,0.04230128,0.3158099999437334,0.31580988778827523,0.48101991653483384,783.6335095417397,0.4809544007679727,0.3872905403810046,-0.01213470758575208,0.07165520701428622,0.12949660696438708,0.17888416985572936,0.17888267713313652,0.23055767946654654,4.234038142231225,0.23053934846056653,0.20667575733955204
